Feature,Coefficient,Absolute_Impact
tenure,-1.2196392868151869,1.2196392868151869
MonthlyCharges,-0.9213691317641978,0.9213691317641978
InternetService_Fiber optic,0.7787603710926331,0.7787603710926331
Contract_Two year,-0.5889750508913087,0.5889750508913087
TotalCharges,0.497245806213439,0.497245806213439
Contract_One year,-0.2864729893649341,0.2864729893649341
StreamingMovies_Yes,0.25865312311848193,0.25865312311848193
StreamingTV_Yes,0.25804162240241296,0.25804162240241296
MultipleLines_Yes,0.21635640760971095,0.21635640760971095
PaperlessBilling_Yes,0.1818331356900138,0.1818331356900138
PaymentMethod_Electronic check,0.18145642226717026,0.18145642226717026
OnlineSecurity_Yes,-0.12342996018447619,0.12342996018447619
Dependents_Yes,-0.10424924626592413,0.10424924626592413
TechSupport_Yes,-0.10024858319374404,0.10024858319374404
DeviceProtection_No internet service,-0.09286061267379972,0.09286061267379972
StreamingMovies_No internet service,-0.09286061267379972,0.09286061267379972
StreamingTV_No internet service,-0.09286061267379972,0.09286061267379972
TechSupport_No internet service,-0.09286061267379972,0.09286061267379972
InternetService_No,-0.09286061267379972,0.09286061267379972
OnlineSecurity_No internet service,-0.09286061267379972,0.09286061267379972
OnlineBackup_No internet service,-0.09286061267379972,0.09286061267379972
DeviceProtection_Yes,0.053624880512948045,0.053624880512948045
SeniorCitizen,0.05290124779751992,0.05290124779751992
PaymentMethod_Mailed check,0.03313250205074492,0.03313250205074492
PaymentMethod_Credit card (automatic),-0.012829676626958351,0.012829676626958351
OnlineBackup_Yes,-0.011604738301502049,0.011604738301502049
gender_Male,0.011110175819342332,0.011110175819342332
Partner_Yes,0.01062936590030926,0.01062936590030926
PhoneService_Yes,0.00768042006680917,0.00768042006680917
MultipleLines_No phone service,-0.00768042006680917,0.00768042006680917
